id,name,quantity,price,supplier_id,created_at
1,"OLED Display 6.1""",50,89.99,5,15-01-2023
2,Li-ion Battery 4000mAh,120,18.5,3,15-01-2023
3,Snapdragon 8 Gen 2 Chipset,85,112,1,16-01-2023
4,12MP Main Camera Module,200,24.75,2,16-01-2023
5,8MP Front Camera Module,180,15.25,2,17-01-2023
6,Aluminum Frame,75,8.99,4,17-01-2023
7,Gorilla Glass 6 Panel,150,12.5,5,18-01-2023
8,Vibration Motor,300,3.25,6,18-01-2023
9,Speaker Module,95,5.99,7,19-01-2023
10,Microphone Array,250,2.25,8,19-01-2023
11,USB-C Port Assembly,400,1.75,9,20-01-2023
12,5G Antenna Module,120,7.5,10,20-01-2023
13,Wi-Fi/Bluetooth Module,110,9.25,1,21-01-2023
14,NFC Chip,200,4.5,3,21-01-2023
15,Proximity Sensor,180,3.25,5,22-01-2023
16,Ambient Light Sensor,170,2.99,7,22-01-2023
17,Accelerometer/Gyroscope,160,5.25,9,23-01-2023
18,Barometer Sensor,90,6.5,2,23-01-2023
19,64GB NAND Flash,300,28.99,4,24-01-2023
20,128GB NAND Flash,250,42.5,6,24-01-2023
21,LPDDR5 RAM 8GB,180,35.75,8,25-01-2023
22,LPDDR5 RAM 12GB,150,52.25,10,25-01-2023
23,Power Management IC,220,14.99,1,26-01-2023
24,Audio Codec Chip,190,8.75,3,26-01-2023
25,Wireless Charging Coil,130,9.5,5,27-01-2023
26,Fingerprint Sensor,140,11.25,7,27-01-2023
27,Face ID Module,80,22.5,9,28-01-2023
28,Thermal Paste Tube,500,0.99,2,28-01-2023
29,Heat Pipe Assembly,110,3.75,4,29-01-2023
30,Graphite Cooling Pad,200,2.25,6,29-01-2023
31,Main Logic Board,75,78.5,8,30-01-2023
32,Sub Board,120,12.25,10,30-01-2023
33,Volume Buttons,350,0.75,1,31-01-2023
34,Power Button,340,0.85,3,31-01-2023
35,Sim Card Tray,400,0.5,5,01-02-2023
36,SD Card Tray,380,0.65,7,01-02-2023
37,Back Cover Glass,90,14.99,9,02-02-2023
38,Aluminum Mid-Frame,85,9.75,2,02-02-2023
39,Waterproof Gasket,300,1.25,4,03-02-2023
40,Dust Filter,450,0.45,6,03-02-2023
41,Main Flex Cable,120,5.25,8,04-02-2023
42,Display Flex Cable,110,4.75,10,04-02-2023
43,Camera Bracket,200,1.99,1,05-02-2023
44,Battery Adhesive,500,0.3,3,05-02-2023
45,Display Adhesive,480,0.35,5,06-02-2023
46,EMI Shielding Can,180,2.5,7,06-02-2023
47,RF Shield,160,2.75,9,07-02-2023
48,Antenna Bracket,190,1.25,2,07-02-2023
49,Speaker Mesh,400,0.2,4,08-02-2023
50,Microphone Gasket,420,0.15,6,08-02-2023
51,USB-C Port Gasket,380,0.25,8,09-02-2023
52,Headphone Jack Module,70,3.5,10,09-02-2023
53,LED Notification Light,150,1.25,1,10-02-2023
54,IR Blaster,120,2.5,3,10-02-2023
55,FM Radio Antenna,180,1.75,5,11-02-2023
56,Barometric Vent,200,0.85,7,11-02-2023
57,Wireless Antenna,160,3.25,9,12-02-2023
58,Cellular Antenna,170,3.5,2,12-02-2023
59,Wi-Fi Antenna,190,2.75,4,13-02-2023
60,Bluetooth Antenna,210,2.5,6,13-02-2023
61,GPS Antenna,180,3,8,14-02-2023
62,NFC Antenna,200,2.25,10,14-02-2023
63,5G mmWave Antenna,90,8.5,1,15-02-2023
64,Sub-6GHz Antenna,110,5.75,3,15-02-2023
65,Vibration Motor Cable,300,0.75,5,16-02-2023
66,Speaker Cable,320,0.65,7,16-02-2023
67,Microphone Cable,350,0.55,9,17-02-2023
68,Display Cable,130,4.25,2,17-02-2023
69,Touchscreen Controller,120,7.5,4,18-02-2023
70,Display Driver IC,140,6.75,6,18-02-2023
71,Camera Flex Cable,160,3.25,8,19-02-2023
72,Battery Flex Cable,180,2.75,10,19-02-2023
73,Power Button Flex,220,1.5,1,20-02-2023
74,Volume Button Flex,210,1.25,3,20-02-2023
75,Sim Card Reader,190,2.5,5,21-02-2023
76,SD Card Reader,170,2.75,7,21-02-2023
77,Wireless Charging IC,110,9.25,9,22-02-2023
78,Fast Charging IC,130,8.75,2,22-02-2023
79,USB PD Controller,140,7.5,4,23-02-2023
80,Audio Amplifier IC,150,6.25,6,23-02-2023
81,LED Driver IC,160,5.75,8,24-02-2023
82,Sensor Hub IC,170,4.5,10,24-02-2023
83,Haptic Engine,100,12.25,1,25-02-2023
84,Stereo Speakers,120,8.75,3,25-02-2023
85,Noise Canceling Mic,180,3.5,5,26-02-2023
86,3.5mm Headphone Jack,90,2.25,7,26-02-2023
87,IR Face Recognition,70,15.5,9,27-02-2023
88,ToF Sensor,80,18.75,2,27-02-2023
89,Laser Autofocus,60,12.5,4,28-02-2023
90,OIS Module,75,14.25,6,28-02-2023
91,Periscope Lens,50,22.75,8,01-03-2023
92,Telephoto Lens,65,18.5,10,01-03-2023
93,Wide Angle Lens,85,15.75,1,02-03-2023
94,Macro Lens,95,12.25,3,02-03-2023
95,Ultra Wide Lens,75,16.5,5,03-03-2023
96,Color Filter Array,200,3.25,7,03-03-2023
97,Pixel Binning Sensor,120,28.5,9,04-03-2023
98,Quad Bayer Sensor,110,32.75,2,04-03-2023
99,RGBW Sensor,100,24.5,4,05-03-2023
100,Under Display Camera,60,45.99,6,05-03-2023
